user_id,name,interest_1,interest_2,interest_3
1,Kavya1,AI,Fitness,Travel
2,Sneha2,Cybersecurity,Gaming,Gaming
3,Ananya3,Art,Photography,Photography
4,Vikram4,AI,Coding,Fitness
5,Nikhil5,Travel,AI,Gaming
6,Priya6,Photography,Coding,Gaming
7,Meera7,Fitness,Health,Fitness
8,Sneha8,Design,Health,Design
9,Priya9,Art,Travel,Fitness
10,Arjun10,AI,Startups,Startups
11,Kavya11,Art,Fitness,Cybersecurity
12,Ananya12,Health,Health,Coding
13,Arjun13,Travel,Gaming,Travel
14,Akhil14,Fitness,Cybersecurity,Photography
15,Rahul15,Health,Gaming,Fitness
16,Kiran16,Gaming,Design,Art
17,Akhil17,Startups,Fitness,Fitness
18,Priya18,Art,Travel,Design
19,Divya19,AI,Fitness,Art
20,Sanjay20,Health,Coding,Art
21,Rahul21,Travel,Photography,Photography
22,Sanjay22,Fitness,Photography,Health
23,Rohit23,Health,Finance,Photography
24,Arjun24,Photography,AI,Health
25,Meera25,Travel,Art,Gaming
26,Rohit26,Gaming,Fitness,Health
27,Sneha27,Gaming,Fitness,Health
28,Kavya28,Coding,Art,Photography
29,Rohit29,Travel,Gaming,Photography
30,Kavya30,Photography,Startups,Art
31,Akhil31,Photography,AI,Photography
32,Rohit32,Gaming,AI,Gaming
33,Sanjay33,Finance,Health,Startups
34,Priya34,Cybersecurity,Startups,Art
35,Rohit35,Fitness,AI,Art
36,Rohit36,AI,Finance,Gaming
37,Ananya37,Cybersecurity,Design,AI
38,Sneha38,Startups,Cybersecurity,Health
39,Vikram39,Cybersecurity,AI,Travel
40,Kavya40,Finance,Travel,Cybersecurity
41,Ananya41,Travel,Startups,AI
42,Kavya42,Photography,Fitness,Finance
43,Meera43,Photography,Art,Startups
44,Rahul44,Coding,Cybersecurity,Finance
45,Divya45,Design,AI,Photography
46,Vikram46,Gaming,Fitness,AI
47,Arjun47,AI,Cybersecurity,Startups
48,Pooja48,Coding,Startups,AI
49,Arjun49,Health,Cybersecurity,Gaming
50,Nikhil50,Startups,Startups,Finance
51,Meera51,Photography,AI,Art
52,Neha52,Finance,Startups,Fitness
53,Neha53,Design,Startups,Finance
54,Sanjay54,Design,Finance,Cybersecurity
55,Akhil55,Coding,Photography,Coding
56,Ananya56,Travel,Health,Art
57,Meera57,Fitness,Startups,Startups
58,Rahul58,Coding,Photography,Startups
59,Rahul59,AI,Cybersecurity,Finance
60,Neha60,Coding,Art,Fitness
61,Ananya61,Gaming,Travel,Design
62,Ananya62,Fitness,Design,Gaming
63,Kavya63,Gaming,Cybersecurity,Travel
64,Rahul64,Coding,Gaming,Travel
65,Sanjay65,Gaming,Finance,Design
66,Priya66,Photography,Gaming,Coding
67,Arjun67,Photography,Coding,Art
68,Divya68,Design,Photography,Health
69,Arjun69,AI,Photography,Art
70,Priya70,Design,Fitness,Design
71,Kavya71,Health,Photography,Photography
72,Meera72,Photography,Travel,AI
73,Priya73,Photography,AI,Design
74,Neha74,Travel,Startups,Health
75,Sanjay75,Cybersecurity,Cybersecurity,Finance
76,Meera76,Fitness,Coding,Startups
77,Sneha77,Cybersecurity,AI,Travel
78,Priya78,Gaming,Startups,Health
79,Neha79,Art,Photography,AI
80,Sneha80,Travel,Finance,Startups
81,Akhil81,Photography,AI,Coding
82,Meera82,Health,Photography,Gaming
83,Neha83,Fitness,Startups,Photography
84,Vikram84,Cybersecurity,Photography,Health
85,Kiran85,Photography,Travel,Gaming
86,Meera86,Design,Finance,Startups
87,Nikhil87,Coding,Coding,Finance
88,Kiran88,Art,Coding,Coding
89,Neha89,Fitness,Health,AI
90,Ananya90,Design,Startups,Fitness
91,Sneha91,Cybersecurity,Art,Gaming
92,Divya92,Travel,Design,Health
93,Nikhil93,Gaming,Coding,Photography
94,Kavya94,Gaming,Coding,Fitness
95,Akhil95,Gaming,Photography,Gaming
96,Neha96,Travel,AI,Cybersecurity
97,Neha97,Photography,Art,Art
98,Neha98,Design,Photography,Startups
99,Rohit99,Art,Cybersecurity,Photography
